縣市,鄉鎮市區,縣市代碼,家戶數,1-2月用電總量,1-2月平均家戶用電,3-4月用電總量,3-4月平均家戶用電,5-6月用電總量,5-6月平均家戶用電,7-8月用電總量,7-8月平均家戶用電
宜蘭縣,壯圍鄉,ILA-060,8317,4801069,577,5023944,604,5015113,602,6919485,831
宜蘭縣,員山鄉,ILA-070,11072,6608142,596,7119668,643,7129507,643,9203071,831
宜蘭縣,冬山鄉,ILA-080,18148,12053293,664,12539108,690,13076957,720,18269419,1006
宜蘭縣,五結鄉,ILA-090,13522,8596338,635,9122535,674,9199103,680,13403546,991
宜蘭縣,三星鄉,ILA-100,7822,4583663,585,4261399,544,4641620,593,6481545,828
宜蘭縣,大同鄉,ILA-110,1861,954325,512,977209,525,973853,523,1106424,594
宜蘭縣,南澳鄉,ILA-120,1854,950129,512,927717,500,1005199,542,1374528,741
桃園縣,桃園市,TAO-010,150940,104556484,692,105396340,698,114988820,761,170759721,1131
桃園縣,中壢市,TAO-020,133706,105384443,788,106591563,797,110835148,828,152416033,1139
桃園縣,大溪鎮,TAO-030,30077,23446057,779,23462947,780,23942485,796,29634227,985
桃園縣,楊梅市,TAO-040,51564,37955864,736,38584138,748,39171243,759,50200756,973
桃園縣,蘆竹鄉,TAO-050,51259,43428484,847,42958369,838,45983765,897,67729415,1321
桃園縣,大園鄉,TAO-060,27403,20160467,735,20764099,757,21056385,768,29194706,1065
桃園縣,龜山鄉,TAO-070,52232,42701352,817,42061877,805,44428166,850,59193819,1133
桃園縣,八德市,TAO-080,60928,41220008,676,41718327,684,42700118,700,60166918,987
桃園縣,龍潭鄉,TAO-090,37952,28830489,759,29529775,778,29623548,780,35158448,926
桃園縣,平鎮市,TAO-100,69567,46974502,675,48897721,702,48018901,690,61466565,883
桃園縣,新屋鄉,TAO-110,15176,11078129,729,11615629,765,11741441,773,15527347,1023
桃園縣,觀音鄉,TAO-120,20015,15547506,776,16050971,801,16574450,828,22677563,1133
桃園縣,復興鄉,TAO-130,3696,1838785,497,1960633,530,1955042,528,2212037,598
新竹縣,竹北市,HSQ-010,52833,42974070,813,43849028,829,47646103,901,68818871,1302
新竹縣,竹東鎮,HSQ-020,31666,20628943,651,21511637,679,22621893,714,31212776,985
新竹縣,新埔鎮,HSQ-030,10572,7454336,705,7923852,749,8059457,762,10791690,1020
新竹縣,關西鎮,HSQ-040,9483,6378546,672,6556534,691,6707207,707,8332606,878
新竹縣,湖口鄉,HSQ-050,24410,19211897,787,19950872,817,20352830,833,28112446,1151
新竹縣,新豐鄉,HSQ-060,16688,13052998,782,12973689,777,14851151,889,21110849,1265
新竹縣,芎林鄉,HSQ-070,6374,5166366,810,4683627,734,5497532,862,7235372,1135
新竹縣,橫山鄉,HSQ-080,4480,2821458,629,3000147,669,3053817,681,3694037,824
新竹縣,北埔鄉,HSQ-090,3151,1848321,586,1813552,575,1890084,599,2487694,789
新竹縣,寶山鄉,HSQ-100,4975,3897899,783,3935381,791,4093690,822,5379643,1081
新竹縣,峨眉鄉,HSQ-110,2064,1191629,577,1193778,578,1305261,632,1646888,797
新竹縣,尖石鄉,HSQ-120,2786,1049651,376,1073481,385,1101639,395,1156048,414
新竹縣,五峰鄉,HSQ-130,1722,611714,355,625522,363,633300,367,671680,390
苗栗縣,苗栗市,MIA-010,30014,19643705,654,19950614,664,22114133,736,32610187,1086
苗栗縣,苑裡鎮,MIA-020,14172,10155339,716,10424566,735,10572181,745,14154391,998
苗栗縣,通霄鎮,MIA-030,11516,6713725,582,7481880,649,7428434,645,10011050,869
苗栗縣,竹南鎮,MIA-040,25715,18261618,710,18897869,734,19004881,739,28152813,1094
苗栗縣,頭份鎮,MIA-050,31554,21435970,679,21542540,682,25069099,794,37822946,1198
苗栗縣,後龍鎮,MIA-060,11864,8014683,675,8404004,708,8675977,731,12451183,1049
苗栗縣,卓蘭鎮,MIA-070,6116,3312902,541,3479279,568,3238622,529,3906716,638
苗栗縣,大湖鄉,MIA-080,5421,2870404,529,3148193,580,3185296,587,3655872,674
苗栗縣,公館鄉,MIA-090,10508,5831363,554,5758714,548,6262736,595,8813689,838
苗栗縣,銅鑼鄉,MIA-100,6104,3749916,614,3887166,636,3938744,645,5091009,834
苗栗縣,南庄鄉,MIA-110,3985,1503725,377,1555399,390,1535591,385,1832130,459
苗栗縣,頭屋鄉,MIA-120,3599,1908253,530,2026935,563,2092480,581,2945794,818
苗栗縣,三義鄉,MIA-130,5401,2767754,512,2920059,540,2974189,550,3477145,643
苗栗縣,西湖鄉,MIA-140,2719,1173119,431,1299940,478,1380264,507,1820305,669
苗栗縣,造橋鄉,MIA-150,4098,3192988,779,3163999,772,3678435,897,4741491,1157
苗栗縣,三灣鄉,MIA-160,2434,1259026,517,1220717,501,1331024,546,1776688,729
苗栗縣,獅潭鄉,MIA-170,1730,871876,503,931807,538,914666,528,1018788,588
苗栗縣,泰安鄉,MIA-180,1968,673025,341,691300,351,708299,359,737209,374
彰化縣,彰化市,CHA-010,73911,52909639,715,53716352,726,58764925,795,80840275,1093
彰化縣,鹿港鎮,CHA-020,23159,18022522,778,18762029,810,19487908,841,25286400,1091
彰化縣,和美鎮,CHA-030,25140,18871548,750,20168400,802,21026638,836,27891356,1109
