縣市,鄉鎮市區,縣市代碼,用電量,家戶數,家戶用電量
臺東縣,東河鄉,TTT-070,1721898,3734,461
臺東縣,長濱鄉,TTT-080,1469616,2918,503
臺東縣,太麻里鄉,TTT-090,1743702,4581,380
臺東縣,大武鄉,TTT-100,1247925,2515,496
臺東縣,綠島鄉,TTT-110,883322,1061,832
臺東縣,海端鄉,TTT-120,599858,1095,547
臺東縣,延平鄉,TTT-130,481215,1066,451
臺東縣,金峰鄉,TTT-140,422067,1088,387
臺東縣,達仁鄉,TTT-150,329461,1488,221
臺東縣,蘭嶼鄉,TTT-160,1415110,1642,861
花蓮縣,花蓮市,HUA-010,34606861,41026,843
花蓮縣,鳳林鎮,HUA-020,2991834,4417,677
花蓮縣,玉里鎮,HUA-030,6425146,8933,719
花蓮縣,新城鄉,HUA-040,5657078,7407,763
花蓮縣,吉安鄉,HUA-050,24246733,30208,802
花蓮縣,壽豐鄉,HUA-060,6107176,6877,888
花蓮縣,光復鄉,HUA-070,2870879,5023,571
花蓮縣,豐濱鄉,HUA-080,912081,1761,517
花蓮縣,瑞穗鄉,HUA-090,2861525,4670,612
花蓮縣,富里鄉,HUA-100,2393024,4026,594
花蓮縣,秀林鄉,HUA-110,3106224,4703,660
花蓮縣,萬榮鄉,HUA-120,969644,2091,463
花蓮縣,卓溪鄉,HUA-130,782976,1662,471
澎湖縣,馬公市,PEN-010,19442236,21874,888
澎湖縣,湖西鄉,PEN-020,2892285,5055,572
澎湖縣,白沙鄉,PEN-030,1906407,3224,591
澎湖縣,西嶼鄉,PEN-040,1714042,2906,589
澎湖縣,望安鄉,PEN-050,562886,1989,282
澎湖縣,七美鄉,PEN-060,587896,1291,455
基隆市,中正區,KEE-010,17865321,22261,802
基隆市,七堵區,KEE-020,15187889,20468,742
基隆市,暖暖區,KEE-030,10022577,14729,680
基隆市,仁愛區,KEE-040,14083657,19612,718
基隆市,中山區,KEE-050,11687499,19288,605
基隆市,安樂區,KEE-060,20667476,31971,646
基隆市,信義區,KEE-070,17140993,20505,835
新竹市,東區,HSZ-010,75973421,72462,1048
新竹市,北區,HSZ-020,48054486,52749,911
新竹市,香山區,HSZ-030,26671854,24307,1097
嘉義市,東區,CYI-010,37189728,44835,829
嘉義市,西區,CYI-020,46261600,52319,884
